BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
BROOKLYN,11216.0,40.685326,-73.94433,"(40.685326, -73.94433)",,,354       TOMPKINS AVENUE,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4439038,Box Truck,Station Wagon/Sport Utility Vehicle,,,,1626298200
QUEENS,11103.0,40.762302,-73.91628,"(40.762302, -73.91628)",,,30-75     STEINWAY STREET               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4295758,Sedan,Station Wagon/Sport Utility Vehicle,,,,1583069700
BRONX,10459.0,40.81632,-73.89622,"(40.81632, -73.89622)",SOUTHERN BOULEVARD              ,LONGWOOD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4296221,3-Door,Station Wagon/Sport Utility Vehicle,,,,1583135400
BROOKLYN,11211.0,40.71407,-73.954346,"(40.71407, -73.954346)",METROPOLITAN AVENUE,MARCY AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4476483,Sedan,Box Truck,,,,1636655640
QUEENS,11434.0,40.65616,-73.76736,"(40.65616, -73.76736)",ROCKAWAY BOULEVARD              ,BREWER BOULEVARD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4393784,Sedan,Station Wagon/Sport Utility Vehicle,,,,1614021600
BRONX,10465.0,40.830875,-73.83435,"(40.830875, -73.83435)",GIFFORD AVENUE,BALCOM AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4464047,Station Wagon/Sport Utility Vehicle,,,,,1633334400
BROOKLYN,11220.0,40.64636,-74.003365,"(40.64636, -74.003365)",,,660       44 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4336148,Station Wagon/Sport Utility Vehicle,,,,,1596811800
MANHATTAN,10034.0,40.859898,-73.91985,"(40.859898, -73.91985)",9 AVENUE                        ,WEST 201 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4336840,Station Wagon/Sport Utility Vehicle,,,,,1596985200
QUEENS,11433.0,40.704422,-73.792854,"(40.704422, -73.792854)",MERRICK BOULEVARD,ARCHER AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4414038,Station Wagon/Sport Utility Vehicle,,,,,1620245400
MANHATTAN,10033.0,40.847412,-73.93331,"(40.847412, -73.93331)",WEST 179 STREET,AUDUBON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4428381,Station Wagon/Sport Utility Vehicle,,,,,1623852000
BROOKLYN,11214.0,40.583664,-73.98656,"(40.583664, -73.98656)",CROPSEY AVENUE                  ,BAY 52 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4296119,Station Wagon/Sport Utility Vehicle,,,,,1583001000
BRONX,10458.0,40.863,-73.893005,"(40.863, -73.893005)",,,2555      BAINBRIDGE AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4429739,Sedan,,,,,1624347600
QUEENS,11385.0,40.7081,-73.914185,"(40.7081, -73.914185)",ONDERDONK AVENUE                ,STOCKHOLM STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4318248,Sedan,,,,,1591261080
BROOKLYN,11222.0,40.723896,-73.94232,"(40.723896, -73.94232)",,,124       MONITOR STREET                ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4339862,Sedan,Tractor Truck Diesel,,,,1597827600
QUEENS,11691.0,40.603844,-73.756065,"(40.603844, -73.756065)",REGINA AVENUE                   ,BEACH CHANNEL DRIVE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4361907,Station Wagon/Sport Utility Vehicle,,,,,1603809900
BROOKLYN,11203.0,40.651733,-73.93039,"(40.651733, -73.93039)",CHURCH AVENUE                   ,UTICA AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4363011,Sedan,,,,,1604087400
MANHATTAN,10032.0,40.844135,-73.93752,"(40.844135, -73.93752)",WEST 173 STREET,SAINT NICHOLAS AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4485560,Sedan,,,,,1639198800
MANHATTAN,10037.0,40.81094,-73.94318,"(40.81094, -73.94318)",WEST 130 STREET,LENOX AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4485936,Sedan,,,,,1639254840
BRONX,10462.0,40.834522,-73.86186,"(40.834522, -73.86186)",MCGRAW AVENUE                   ,VIRGINIA AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4390244,Sedan,Sedan,,,,1612528200
BRONX,10451.0,,,,EAST 138 STREET,EXTERIOR STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408772,Sedan,Sedan,,,,1618851000
STATEN ISLAND,10301.0,40.62795,-74.090645,"(40.62795, -74.090645)",,,590       VICTORY BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,,,,,4415964,Sedan,,,,,1620802920
MANHATTAN,10018.0,40.75834,-73.996414,"(40.75834, -73.996414)",10 AVENUE                       ,WEST 40 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4402973,Bus,,,,,1616622000
STATEN ISLAND,10308.0,40.545433,-74.14272,"(40.545433, -74.14272)",HYLAN BOULEVARD                 ,HILLSIDE TERRACE,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4306126,Station Wagon/Sport Utility Vehicle,Sedan,,,,1583681700
BROOKLYN,11249.0,40.709713,-73.965645,"(40.709713, -73.965645)",BERRY STREET                    ,SOUTH 8 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4333170,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1596038700
MANHATTAN,10013.0,40.719578,-73.99806,"(40.719578, -73.99806)",BAXTER STREET,GRAND STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4481298,,,,,,1637274360
BROOKLYN,11213.0,40.669575,-73.94555,"(40.669575, -73.94555)",,,698       EASTERN PARKWAY               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4275859,Sedan,Sedan,,,,1579356000
BROOKLYN,11234.0,40.628765,-73.92373,"(40.628765, -73.92373)",,,5427      FLATLANDS AVENUE              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4305832,Sedan,Sedan,Sedan,,,1583595900
